Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,BsR,Fld,-1,Off,Def,WAR,-1,ADP,playerid
José Ramírez,CLE,150,663,578,151,35,4,30,92,98,72,89,7,20,6,,0.262,0.348,0.49,0.838,0.354,133,,2.3,1.5,,26.9,2.3,5.3,,999,13510
Nolan Arenado,STL,150,649,586,158,33,1,29,84,100,52,86,6,4,2,,0.27,0.333,0.482,0.815,0.35,130,,-0.3,4,,22.3,5.7,5.2,,999,9777
Alex Bregman,HOU,150,669,564,148,35,1,25,94,86,88,86,9,3,1,,0.263,0.369,0.461,0.83,0.362,139,,-1.3,-2.3,,28.3,-0.5,5.2,,999,17678
Manny Machado,SDP,150,663,588,158,30,1,30,89,97,65,124,3,8,3,,0.268,0.342,0.476,0.818,0.35,130,,-0.4,-0.1,,22.9,1.4,4.9,,999,11493
Rafael Devers,BOS,150,662,592,165,39,2,32,91,100,55,130,7,4,2,,0.278,0.345,0.511,0.856,0.363,134,,0.5,-2.7,,25.7,-1.1,4.8,,999,17350
Austin Riley,ATL,150,655,585,160,32,2,35,91,105,53,159,11,2,1,,0.274,0.343,0.513,0.857,0.368,136,,-1.7,-8.3,,26,-5.8,4.4,,999,18360
Gunnar Henderson,BAL,139,612,531,135,28,4,21,75,77,69,150,6,10,4,,0.255,0.345,0.444,0.789,0.344,126,,-0.5,1.1,,17.7,3.6,4.3,,999,26289
Bobby Witt Jr.,KCR,149,669,613,161,35,5,26,89,84,40,134,7,27,10,,0.263,0.313,0.463,0.776,0.334,115,,2,2.1,,13.3,5.3,4.2,,999,25764
Yandy Díaz,TBR,141,641,544,154,32,1,15,87,63,82,86,6,5,2,,0.283,0.38,0.425,0.805,0.355,139,,-1.9,-2.2,,26,-7.4,4.1,,999,16578
Matt Chapman,TOR,150,625,542,120,25,2,27,76,81,68,182,7,3,1,,0.221,0.314,0.423,0.737,0.322,111,,0.4,3,,8.2,5.5,3.5,,999,16505
Anthony Rendon,LAA,138,583,504,130,31,1,18,71,72,66,102,6,3,1,,0.258,0.349,0.433,0.782,0.342,123,,0,-2,,15,-1,3.4,,999,12861
Ke'Bryan Hayes,PIT,139,618,553,143,32,3,14,72,68,52,133,6,17,6,,0.259,0.327,0.403,0.73,0.321,106,,0.5,2.6,,4.8,4.3,3.1,,999,18577
Luis Urías,MIL,139,592,516,126,25,2,20,69,71,60,123,9,4,2,,0.243,0.331,0.412,0.743,0.327,110,,-0.6,0.6,,6.6,3.2,3.1,,999,16622
Jose Miranda,MIN,139,587,534,144,32,1,21,70,77,37,100,9,2,1,,0.27,0.325,0.451,0.775,0.336,122,,-0.8,-5.3,,13.6,-4.4,2.9,,999,20538
Isaac Paredes,TBR,112,463,399,97,20,1,19,58,61,54,77,5,2,1,,0.244,0.339,0.446,0.785,0.343,130,,-0.7,0,,15,-1.9,2.9,,999,20036
Alec Bohm,PHI,146,595,544,148,27,2,16,65,69,39,117,5,4,2,,0.272,0.324,0.418,0.742,0.324,107,,-0.4,-1.8,,4.6,0.6,2.6,,999,21618
Yoán Moncada,CHW,139,620,545,133,29,2,18,75,66,61,160,6,4,2,,0.244,0.325,0.403,0.727,0.319,108,,-0.1,0,,5.1,0.1,2.6,,999,17232
Max Muncy,LAD,136,585,488,110,21,1,26,76,79,84,135,7,2,1,,0.226,0.345,0.435,0.78,0.342,123,,-0.4,-5,,15.1,-10.7,2.5,,999,13301
Ryan McMahon,COL,138,595,525,131,26,2,22,73,76,59,152,5,7,3,,0.249,0.328,0.434,0.762,0.333,100,,0,0.6,,-0.1,2.9,2.4,,999,15112
Eugenio Suárez,SEA,144,624,546,115,20,1,28,72,79,65,191,7,1,0,,0.211,0.301,0.406,0.707,0.311,107,,-2.4,-1.6,,2.7,-0.1,2.4,,999,12552
DJ LeMahieu,NYY,99,449,393,108,18,1,10,56,42,45,62,4,4,2,,0.274,0.352,0.402,0.754,0.334,119,,-0.7,1,,9,-1.3,2.3,,999,9874
Ramón Urías,BAL,126,516,463,114,23,1,15,55,57,41,119,7,2,1,,0.247,0.316,0.404,0.72,0.315,106,,-0.7,0.2,,2.7,1.7,2.2,,999,18795
