Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,BsR,Fld,-1,Off,Def,WAR,-1,ADP,playerid
Adley Rutschman,BAL,130,579,492,126,30,1,19,78,65,73,99,6,4,2,,0.257,0.358,0.44,0.798,0.35,130,,0.5,0.4,,20.2,7,5.9,,999,26288
J.T. Realmuto,PHI,129,555,497,127,24,4,20,68,74,42,123,10,12,4,,0.256,0.324,0.439,0.763,0.331,113,,1.9,4.9,,9.9,12.6,4.6,,999,11739
Alejandro Kirk,TOR,126,537,466,133,26,1,19,71,75,60,59,5,1,0,,0.286,0.371,0.469,0.84,0.366,142,,-2.3,0.1,,23,-1.4,4.6,,999,22581
Sean Murphy,OAK,132,581,510,122,30,2,21,69,67,55,125,10,1,1,,0.239,0.322,0.424,0.746,0.326,118,,-0.7,1.1,,11.3,4.3,4.3,,999,19352
Will Smith,LAD,126,547,475,120,23,2,26,73,80,57,98,10,2,1,,0.253,0.343,0.473,0.816,0.352,130,,-2,-0.1,,17,3.3,4.1,,999,19197
Cal Raleigh,SEA,122,509,460,103,23,1,26,62,73,40,136,5,2,1,,0.225,0.29,0.451,0.742,0.32,114,,-0.7,1.1,,7.2,2.9,3.4,,999,21534
Daulton Varsho,ARI,130,582,519,124,25,3,24,77,68,48,133,6,15,5,,0.239,0.309,0.44,0.749,0.325,108,,1.6,4.1,,6.9,4.2,3.2,,999,19918
Willson Contreras,,122,543,468,112,23,1,21,70,64,51,130,17,5,2,,0.24,0.333,0.429,0.763,0.335,118,,-1.3,0.3,,9.7,5.6,3.1,,999,11609
Jonah Heim,TEX,100,415,374,88,18,1,14,45,49,34,80,3,2,1,,0.235,0.301,0.402,0.703,0.307,100,,-0.8,0,,-0.9,7.4,2.9,,999,16930
Jose Trevino,NYY,83,316,294,72,14,1,8,33,35,15,58,2,3,1,,0.246,0.285,0.387,0.672,0.292,90,,-0.9,0.3,,-4.4,7.2,2.7,,999,16725
Danny Jansen,TOR,116,468,414,99,20,1,23,59,65,43,91,6,2,1,,0.239,0.317,0.457,0.774,0.335,120,,-0.7,0.1,,10,0.4,2.6,,999,16535
Keibert Ruiz,WSN,113,481,435,115,24,1,16,55,61,36,56,5,4,2,,0.264,0.326,0.434,0.76,0.332,113,,-0.7,0.3,,6.3,4.5,2.5,,999,19610
Travis d'Arnaud,ATL,93,389,354,89,18,1,14,45,49,24,86,6,1,0,,0.251,0.307,0.421,0.728,0.317,102,,-1.2,-0.1,,-0.4,5.1,2.5,,999,7739
Yasmani Grandal,CHW,86,350,291,66,11,0,12,40,39,52,77,3,1,0,,0.226,0.347,0.393,0.739,0.33,115,,-2.3,-2.3,,3.7,3.6,2.4,,999,11368
Tyler Stephenson,CIN,117,500,447,115,24,1,15,56,60,42,113,7,2,1,,0.257,0.328,0.412,0.74,0.325,102,,-0.6,0.6,,0.7,7.1,2.3,,999,17988
Omar Narváez,,100,410,362,87,16,1,9,42,41,38,80,5,1,0,,0.24,0.317,0.361,0.678,0.301,94,,-1.1,-1.5,,-3.9,4.9,2.2,,999,13338
Christian Bethancourt,TBR,73,287,265,66,13,1,11,32,36,15,67,2,3,1,,0.248,0.293,0.421,0.714,0.31,107,,-0.5,1.5,,1.7,6.7,2.1,,999,10028
Christian Vázquez,,96,385,353,90,17,1,8,39,40,23,66,3,4,2,,0.255,0.303,0.378,0.681,0.299,93,,-2.1,0.8,,-5.2,8.8,2.1,,999,9774
