Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,BsR,Fld,-1,Off,Def,WAR,-1,ADP,playerid
Yordan Alvarez,HOU,138,603,519,148,31,2,36,91,104,71,124,7,2,1,,0.284,0.375,0.558,0.933,0.396,163,,-0.4,1.2,,42.2,-11.2,5.3,,999,19556
Steven Kwan,CLE,141,647,566,160,29,6,11,88,59,64,67,7,16,5,,0.284,0.361,0.414,0.775,0.341,124,,1,1.7,,18.2,-4.5,3.6,,999,24610
Eloy Jiménez,CHW,146,627,569,155,27,1,33,82,98,47,142,5,1,0,,0.273,0.332,0.496,0.828,0.357,134,,-0.5,-2.6,,23.6,-12,3.3,,999,17484
Christian Yelich,MIL,146,666,562,140,26,3,21,89,68,89,164,5,14,4,,0.249,0.354,0.419,0.773,0.339,119,,1.5,-0.9,,15.9,-9.7,3,,999,11477
Randy Arozarena,TBR,149,656,584,150,33,2,23,82,84,54,164,12,26,11,,0.257,0.33,0.439,0.769,0.334,124,,-0.5,-2.4,,17.2,-10.9,2.9,,999,19290
Ian Happ,CHC,149,651,570,140,31,2,23,77,80,68,160,7,9,4,,0.246,0.331,0.427,0.758,0.331,114,,0.1,1.8,,10.6,-5.4,2.8,,999,17919
Kyle Schwarber,PHI,143,643,547,124,21,2,38,93,88,80,182,6,6,3,,0.226,0.329,0.479,0.809,0.349,124,,-1.4,-5.8,,16.8,-13.4,2.6,,999,16478
Tyler O'Neill,STL,130,539,481,117,20,2,25,66,73,44,152,8,14,5,,0.243,0.315,0.448,0.763,0.332,118,,1.1,0.4,,12.1,-5.3,2.6,,999,15711
Corbin Carroll,ARI,122,498,436,106,21,7,17,58,58,49,130,7,14,6,,0.243,0.328,0.436,0.764,0.332,113,,0.4,5.1,,7.7,0.1,2.6,,999,25878
Alex Verdugo,BOS,147,660,596,168,38,2,16,83,70,49,97,5,5,2,,0.281,0.339,0.431,0.77,0.335,114,,0.3,-0.6,,10.5,-8,2.5,,999,17027
Jake McCarthy,ARI,141,611,548,142,28,6,15,71,71,49,132,8,28,10,,0.258,0.325,0.417,0.742,0.325,108,,2.4,-0.2,,7.7,-5.7,2.4,,999,21622
Miguel Vargas,LAD,126,491,434,115,24,2,17,62,64,45,88,5,8,3,,0.264,0.337,0.447,0.784,0.341,122,,-0.1,-6.3,,12.6,-7.2,2.3,,999,20178
Andrew Benintendi,,130,567,505,135,27,3,13,67,62,52,97,4,9,4,,0.268,0.338,0.409,0.747,0.329,113,,-0.2,1.4,,8.4,-5.1,2.3,,999,17901
Tony Kemp,OAK,133,597,524,131,27,2,10,68,48,56,78,8,10,3,,0.25,0.33,0.366,0.696,0.31,107,,0.5,-1.7,,5.4,-2.7,2.3,,999,14894
Mark Canha,NYM,141,582,494,120,23,2,16,66,62,60,118,20,5,2,,0.242,0.345,0.392,0.737,0.329,118,,-1.1,-3.8,,11.1,-10.3,2.1,,999,11445
Andrew Vaughn,CHW,141,594,537,143,29,1,23,72,77,43,107,8,1,1,,0.266,0.327,0.453,0.78,0.339,121,,-1.5,0.5,,12.8,-11.9,2.1,,999,26197
Austin Hays,BAL,144,587,535,134,29,2,20,67,72,35,115,9,5,2,,0.251,0.306,0.428,0.733,0.319,108,,0,2.7,,5.5,-4.4,2.1,,999,19363
Austin Meadows,DET,123,560,494,122,26,4,20,72,60,52,107,6,6,2,,0.247,0.324,0.435,0.76,0.331,118,,-1.5,-1.4,,9.6,-9.8,1.9,,999,15672
Trayce Thompson,LAD,115,478,421,92,18,1,24,59,67,46,159,5,5,2,,0.22,0.302,0.439,0.741,0.321,108,,-0.1,-2.5,,4.6,-2.9,1.9,,999,9952
Joc Pederson,SFG,122,532,470,114,22,3,23,66,71,48,126,8,4,2,,0.243,0.321,0.452,0.773,0.335,118,,-0.5,-2.6,,10.6,-11.3,1.8,,999,11899
Kris Bryant,COL,126,568,498,134,31,2,20,78,69,55,116,7,5,2,,0.27,0.348,0.459,0.807,0.351,112,,0.5,-3.5,,8.6,-11.8,1.7,,999,15429
Kerry Carpenter,DET,107,448,407,103,21,2,20,53,60,30,99,6,5,2,,0.252,0.311,0.458,0.77,0.331,118,,-0.6,-0.2,,8.3,-7.2,1.6,,999,25961
Aaron Hicks,NYY,122,489,415,93,16,2,13,52,49,64,114,4,8,3,,0.224,0.331,0.367,0.698,0.311,103,,0.4,2.9,,2.2,-2.6,1.6,,999,5297
Chris Taylor,LAD,141,568,500,114,26,3,14,61,60,54,173,7,9,3,,0.227,0.309,0.377,0.686,0.302,96,,0.6,-3.7,,-2.2,-1.8,1.6,,999,13757
Lane Thomas,WSN,123,552,491,116,26,2,19,68,56,49,132,4,10,4,,0.236,0.309,0.411,0.72,0.315,101,,-0.3,1.4,,0.7,-4.2,1.6,,999,16939
Lourdes Gurriel Jr.,TOR,134,544,498,136,29,1,17,62,68,34,100,5,4,2,,0.273,0.323,0.438,0.761,0.33,117,,-1.4,-3.1,,8.9,-11.2,1.6,,999,19238
Bryan De La Cruz,MIA,117,470,431,113,23,1,15,50,56,29,113,3,5,2,,0.263,0.312,0.427,0.739,0.321,109,,-0.5,-6.1,,4.6,-5.8,1.5,,999,19600
Jesse Winker,MIL,115,494,418,104,21,1,17,61,58,64,92,6,1,0,,0.25,0.355,0.425,0.78,0.344,122,,-2.4,-2.1,,10.1,-12.3,1.5,,999,13590
James Outman,LAD,100,378,334,79,16,2,16,49,50,33,116,5,6,2,,0.238,0.313,0.446,0.759,0.329,114,,0.1,-2.1,,6.3,-4.8,1.5,,999,24770
Jurickson Profar,,134,580,507,122,27,2,15,69,58,60,92,6,7,2,,0.242,0.326,0.39,0.717,0.317,105,,-0.1,-1.7,,3.5,-8.4,1.5,,999,10815
Michael Brantley,,109,486,435,123,24,2,10,60,50,40,60,4,2,1,,0.283,0.348,0.415,0.762,0.334,117,,-1.3,-0.5,,8.1,-10.1,1.5,,999,4106
TJ Friedl,CIN,113,517,454,113,19,5,16,67,52,46,96,8,13,4,,0.248,0.327,0.419,0.745,0.327,104,,0.5,-1.2,,2.6,-7,1.4,,999,19522
Akil Baddoo,DET,113,458,403,95,18,5,10,48,44,46,111,3,17,7,,0.235,0.316,0.377,0.693,0.307,101,,1.2,1.8,,1.5,-3.1,1.4,,999,22168
Jack Suwinski,PIT,89,365,318,72,15,1,17,43,47,39,105,4,4,2,,0.225,0.315,0.435,0.75,0.327,110,,-0.2,1.7,,4.2,-3.8,1.3,,999,22244
Chas McCormick,HOU,115,462,404,92,16,2,14,51,51,48,125,4,6,2,,0.228,0.314,0.378,0.692,0.307,100,,-0.6,1.1,,-0.5,-2,1.3,,999,19599
Jorge Soler,MIA,133,558,488,112,23,1,25,65,70,58,149,6,2,1,,0.23,0.317,0.434,0.751,0.327,113,,-1.6,-2.2,,7.1,-13.9,1.3,,999,14221
Alex Call,WSN,99,396,343,82,17,1,13,44,44,43,78,6,7,3,,0.238,0.331,0.41,0.74,0.327,109,,0,-0.8,,4.2,-5.5,1.3,,999,19296
Juan Yepez,STL,89,359,324,81,17,0,18,44,52,27,78,4,1,1,,0.251,0.313,0.469,0.783,0.338,122,,-0.6,0,,8.5,-9.4,1.2,,999,18400
Aledmys Díaz,,87,364,332,84,18,1,11,40,43,22,62,5,2,1,,0.254,0.307,0.413,0.721,0.314,103,,-1.1,-1.7,,0.1,-1.1,1.2,,999,15937
Alex Kirilloff,MIN,97,383,345,88,18,1,14,44,47,27,82,5,2,1,,0.256,0.317,0.431,0.747,0.325,114,,-0.7,-0.7,,5.3,-6.7,1.1,,999,20325
Brandon Marsh,PHI,122,473,426,99,19,4,10,50,47,36,149,4,11,4,,0.232,0.295,0.368,0.663,0.291,85,,0.9,-0.3,,-7.3,1.7,1.1,,999,20202
Joey Gallo,,104,429,358,67,12,2,20,51,52,61,153,4,3,1,,0.188,0.312,0.397,0.708,0.313,103,,0,0.1,,1.4,-5.1,1.1,,999,14128
Esteury Ruiz,MIL,73,293,258,63,13,1,8,35,32,25,62,6,21,6,,0.244,0.323,0.395,0.718,0.317,104,,1.4,-0.5,,2.6,-2.3,1.1,,999,21780
Tommy Pham,,131,578,507,120,22,2,16,67,59,58,147,6,10,3,,0.236,0.32,0.379,0.699,0.31,100,,0.7,-3.2,,0.8,-9.8,1,,999,2967
AJ Pollock,,120,500,458,116,24,1,17,57,60,32,97,5,5,2,,0.254,0.307,0.423,0.731,0.317,105,,-0.8,-2.7,,2.3,-8.7,1,,999,9256
David Peralta,,115,487,439,110,24,2,13,53,55,39,106,4,3,1,,0.251,0.315,0.403,0.718,0.312,102,,-0.5,-0.9,,0.5,-7.5,0.9,,999,2136
Nick Gordon,MIN,84,343,316,79,17,2,7,35,36,18,80,5,7,3,,0.251,0.3,0.391,0.691,0.302,97,,0.2,-1.4,,-0.8,-1.6,0.9,,999,16337
Jake Fraley,CIN,113,475,410,97,19,1,19,57,58,54,120,5,8,3,,0.237,0.331,0.424,0.755,0.33,106,,0,-3,,3.4,-11.3,0.8,,999,19260
Josh H. Smith,TEX,91,348,301,73,15,1,7,38,32,35,72,7,9,3,,0.241,0.33,0.364,0.694,0.31,102,,0.2,-0.1,,1,-4.2,0.8,,999,26396
JJ Bleday,MIA,79,330,284,58,13,1,11,35,36,39,88,3,3,1,,0.205,0.306,0.372,0.678,0.302,96,,-0.2,-0.4,,-1.8,-1.6,0.8,,999,26368
Edward Olivares,KCR,68,279,253,66,13,1,9,31,32,19,53,3,5,2,,0.261,0.319,0.423,0.742,0.324,108,,0.1,-0.7,,2.6,-3.8,0.8,,999,19698
Marcell Ozuna,ATL,109,434,391,97,17,1,18,52,58,35,100,3,2,1,,0.248,0.312,0.436,0.748,0.325,107,,-0.4,-1.3,,3.2,-10.2,0.8,,999,10324
Will Brennan,CLE,50,204,185,51,11,1,4,23,23,15,29,2,4,2,,0.277,0.335,0.417,0.752,0.329,115,,0,-0.1,,3.4,-2.7,0.7,,999,25660
Kyle Stowers,BAL,76,304,270,65,14,1,12,34,38,27,86,4,2,1,,0.24,0.315,0.435,0.75,0.326,113,,-0.4,-0.1,,4.2,-7.2,0.7,,999,26151
Trevor Larnach,MIN,102,411,361,82,18,1,13,43,45,39,129,6,2,1,,0.228,0.31,0.385,0.695,0.306,101,,-0.8,1.4,,-0.5,-6,0.7,,999,21501
Ben Gamel,,78,330,287,68,15,2,7,36,33,36,83,3,4,2,,0.237,0.325,0.37,0.695,0.308,99,,-0.2,0,,-0.6,-3.9,0.7,,999,12160
Sean Bouchard,COL,47,188,164,43,10,1,8,25,25,20,47,2,3,1,,0.259,0.341,0.474,0.815,0.353,114,,-0.1,-0.1,,2.9,-2.9,0.7,,999,21270
Miguel Andújar,PIT,91,372,345,91,19,1,12,42,47,19,58,3,4,2,,0.264,0.305,0.431,0.737,0.319,105,,0,-1.4,,2.1,-8.4,0.7,,999,15878
Kyle Isbel,KCR,75,299,270,65,13,3,7,32,32,21,72,4,10,4,,0.243,0.304,0.393,0.697,0.305,95,,0.2,1.1,,-1.5,-1.9,0.6,,999,21614
Canaan Smith-Njigba,PIT,42,171,147,36,8,1,4,20,18,20,41,2,4,1,,0.247,0.342,0.393,0.736,0.326,110,,0,0.1,,1.9,-2,0.6,,999,23264
Jake Lamb,,150,610,531,114,23,2,20,66,66,63,176,8,3,1,,0.215,0.305,0.374,0.679,0.301,94,,-0.8,1,,-4.8,-9.6,0.6,,999,13329
Sam Haggerty,SEA,65,257,228,52,12,1,5,27,25,22,64,3,11,3,,0.229,0.303,0.359,0.662,0.292,94,,0.6,0.4,,-1.3,-1.6,0.6,,999,18054
