playerid,Name,Team,POS,G,PA,IP,WAR,value
10954,Jacob deGrom,FA,SP,29,0,172,5.5,45111765
16137,Carlos Rodón,FA,SP,31,0,181,4.7,32478220
8700,Justin Verlander,FA,SP,31,0,190,4.2,45336103
15423,Andrew Heaney,FA,SP,26,0,140,2.5,11639459
12304,Chris Bassitt,FA,SP,32,0,196,2.5,21040210
9132,Nathan Eovaldi,FA,SP,28,0,155,2.4,16733880
11423,José Quintana,FA,SP,31,0,167,2,14209874
11674,Jameson Taillon,FA,SP,31,0,178,2,14596995
15873,Sean Manaea,FA,SP,28,0,154,1.9,11981447
6902,Martín Pérez,FA,SP,32,0,191,1.9,17921941
12880,Tyler Anderson,FA,SP,31,0,185,1.8,13642924
2429,Corey Kluber,FA,SP,29,0,159,1.7,9786684
13273,Ross Stripling,FA,SP,28,0,147,1.5,17576905
11836,Taijuan Walker,FA,SP,29,0,161,1.5,13953086
14078,Michael Wacha,FA,SP,28,0,150,1.5,11985930
13774,Zach Eflin,FA,SP,26,0,146,1.4,13786511
15440,Matthew Boyd,FA,SP,26,0,153,1.4,2000000
11762,Noah Syndergaard,FA,SP,28,0,153,1.4,15287228
10123,Kyle Gibson,FA,SP,29,0,172,1.3,12095550
11760,Drew Smyly,FA,SP,24,0,129,1.3,14527815
12808,Mike Clevinger,FA,SP,28,0,151,1.3,10382643
3542,Danny Duffy,FA,RP,40,0,114,1.2,2000000
8779,Wade Miley,FA,SP,23,0,125,1.1,2000000
10021,Mike Minor,FA,SP,24,0,134,1.1,2000000
1943,Zack Greinke,FA,SP,24,0,136,1,10439187
14843,Michael Lorenzen,FA,SP,23,0,127,1,9545387
4806,Rich Hill,FA,SP,19,0,102,1,2000000
16918,Luke Weaver,FA,RP,44,0,117,0.9,2000000
6893,Johnny Cueto,FA,SP,26,0,152,0.9,14700083
16977,Trevor Williams,FA,SP,41,0,132,0.8,2000000
7593,Jordan Lyles,FA,SP,29,0,166,0.8,17273737
5372,Michael Pineda,FA,SP,21,0,112,0.7,2000000
13449,Taylor Rogers,FA,RP,63,0,63,0.7,13142114
16502,Ryan Yarbrough,FA,SP,24,0,133,0.7,2000000
13183,Zach Davies,FA,SP,28,0,145,0.6,6456838
11189,Vince Velasquez,FA,SP,37,0,126,0.5,2000000
11589,José Ureña,FA,SP,23,0,123,0.5,2000000
6345,Chris Archer,FA,SP,23,0,114,0.5,2000000
10233,Aroldis Chapman,FA,RP,53,0,53,0.5,6654567
12917,Dylan Bundy,FA,SP,28,0,145,0.5,12361823
6655,Craig Kimbrel,FA,RP,61,0,61,0.5,6199461
12760,Rafael Montero,FA,RP,65,0,65,0.4,8190360
14975,Chad Kuhl,FA,SP,23,0,122,0.4,9410263
1247,Adam Ottavino,FA,RP,64,0,64,0.4,4884082
4972,Cole Hamels,FA,SP,13,0,74,0.4,2000000
12988,Andrew Chafin,FA,RP,64,0,64,0.4,2000000
9434,Dallas Keuchel,FA,SP,15,0,78,0.4,2000000
12972,Joe Ross,FA,SP,8,0,46,0.4,2000000
13435,Pierce Johnson,FA,RP,60,0,60,0.4,2000000
17425,Erick Fedde,FA,RP,35,0,96,0.4,2000000
12447,Seth Lugo,FA,RP,65,0,65,0.4,7273839
6398,Trevor May,FA,RP,61,0,61,0.3,2000000
11384,Tommy Kahnle,FA,RP,60,0,60,0.3,2000000
8241,David Robertson,FA,RP,62,0,62,0.3,8969540
3284,Aníbal Sánchez,FA,SP,23,0,124,0.3,2000000
3096,Kenley Jansen,FA,RP,63,0,63,0.3,13844487
11752,Luke Jackson,FA,RP,50,0,50,0.3,2000000
11487,Joely Rodríguez,FA,RP,62,0,62,0.2,2000000
10745,Trevor Rosenthal,FA,RP,57,0,57,0.2,2000000
8223,Brett Anderson,FA,SP,6,0,34,0.2,2000000
15552,Chad Green,FA,RP,32,0,32,0.2,2000000
5448,Jesse Chavez,FA,RP,48,0,48,0.2,2000000
14542,Carlos Estévez,FA,RP,63,0,63,0.2,2000000
13218,Michael Fulmer,FA,RP,64,0,64,0.2,2000000
15684,Miguel Castro,FA,RP,64,0,64,0.2,2000000
27505,Kohei Arihara,FA,SP,6,0,35,0.1,2000000
10591,Scott Alexander,FA,RP,62,0,62,0.1,2000000
1890,Matt Moore,FA,RP,66,0,66,0.1,3389399
13475,Daniel Norris,FA,RP,52,0,52,0.1,2000000
7432,Jay Jackson,FA,RP,24,0,24,0.1,2000000
3192,Will Harris,FA,RP,33,0,33,0.1,2000000
7608,Tommy Milone,FA,SP,8,0,45,0.1,2000000
