"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Juan Soto","SDP","150","675","524","147","27","2","33","112","94","137","93","5","9","4","",".281",".431",".528",".959",".411","172","","-1.1","-1.0","","55.5","-10.7","7.1","","999.0","20123"
"Aaron Judge","","150","674","565","156","26","1","42","107","103","94","167","6","10","4","",".275",".381",".547",".928",".392","157","","0.0","2.9","","44.3","-2.5","6.7","","999.0","15640"
"Fernando Tatis Jr.","SDP","125","552","481","136","26","2","37","92","94","59","125","6","20","7","",".283",".365",".574",".939",".398","163","","2.0","-1.2","","42.7","-4.4","6.0","","999.0","19709"
"Julio Rodríguez","SEA","149","679","606","167","32","3","32","100","86","54","160","9","25","9","",".276",".342",".497",".839",".360","142","","1.6","-1.0","","33.5","1.5","5.9","","999.0","23697"
"Mookie Betts","LAD","150","693","603","162","36","3","31","107","85","71","110","9","15","4","",".269",".352",".492",".844",".365","138","","1.8","6.8","","32.8","0.0","5.9","","999.0","13611"
"Adley Rutschman","BAL","130","580","493","126","30","1","19","78","65","73","99","6","4","2","",".256",".357",".439",".796",".349","130","","0.5","0.4","","19.9","6.3","5.7","","999.0","26288"
"Mike Trout","LAA","150","677","572","147","28","2","39","104","99","88","179","8","3","1","",".256",".360",".520",".880",".374","145","","-0.2","-4.8","","34.3","-2.9","5.6","","999.0","10155"
"Wander Franco","TBR","144","649","583","167","37","6","16","87","75","53","70","5","10","4","",".286",".348",".453",".801",".348","133","","0.7","0.8","","25.0","7.2","5.6","","999.0","23667"
"Ronald Acuña Jr.","ATL","149","690","586","158","32","1","31","111","82","81","157","12","36","11","",".270",".367",".487",".854",".369","137","","4.1","1.8","","33.9","-5.0","5.5","","999.0","18401"
"Vladimir Guerrero Jr.","TOR","150","665","584","171","32","1","40","102","113","67","102","7","6","3","",".292",".369",".554",".923",".392","161","","-1.8","-0.9","","43.6","-13.6","5.4","","999.0","19611"
"Yordan Alvarez","HOU","141","617","532","151","31","2","37","93","105","73","127","7","2","1","",".284",".375",".557",".931",".395","162","","-0.4","0.9","","42.8","-12.3","5.3","","999.0","19556"
