playerid,Name,Team,POS,G,PA,IP,WAR
10954,Jacob deGrom,TEX,SP,29,0,172,5.5
19361,Corbin Burnes,MIL,SP,32,0,197,4.9
16137,Carlos Rodón,NA,SP,31,0,181,4.7
13125,Gerrit Cole,NYY,SP,32,0,197,4.4
19755,Shohei Ohtani,LAA,SP,29,0,173,4.4
3137,Max Scherzer,NYM,SP,31,0,191,4.3
8700,Justin Verlander,NYM,SP,31,0,190,4.2
16149,Aaron Nola,PHI,SP,32,0,199,4.2
21483,Shane McClanahan,TBR,SP,31,0,184,4
18684,Sandy Alcantara,MIA,SP,32,0,211,4
10310,Zack Wheeler,PHI,SP,31,0,189,3.9
27498,Spencer Strider,ATL,SP,28,0,154,3.7
17295,Framber Valdez,HOU,SP,31,0,196,3.7
19427,Shane Bieber,CLE,SP,32,0,203,3.7
16162,Brandon Woodruff,MIL,SP,31,0,182,3.7
26378,Nick Lodolo,CIN,SP,29,0,176,3.7
14107,Kevin Gausman,TOR,SP,31,0,181,3.7
15689,Luis Castillo,SEA,SP,32,0,195,3.5
14374,Tyler Glasnow,TBR,SP,28,0,160,3.4
18525,Dylan Cease,CHW,SP,32,0,188,3.3
13743,Max Fried,ATL,SP,31,0,190,3.2
2036,Clayton Kershaw,LAD,SP,28,0,163,3.2
22182,Hunter Greene,CIN,SP,29,0,168,3.2
13543,Blake Snell,SDP,SP,29,0,160,3.1
6562,Alex Cobb,SFG,SP,29,0,166,3.1
25377,Brady Singer,KCR,SP,31,0,184,3.1
12970,Joe Musgrove,SDP,SP,32,0,191,3.1
13074,Yu Darvish,SDP,SP,32,0,200,3.1
19291,Zac Gallen,ARI,SP,31,0,182,3
17995,Logan Webb,SFG,SP,32,0,193,3
10603,Chris Sale,BOS,SP,26,0,151,3
17085,Pablo López,MIA,SP,31,0,178,2.8
2520,Lance Lynn,CHW,SP,31,0,183,2.8
14765,Julio Urías,LAD,SP,32,0,190,2.8
4676,Charlie Morton,ATL,SP,29,0,166,2.6
26410,Alek Manoah,TOR,SP,32,0,199,2.6
19447,Patrick Sandoval,LAA,SP,29,0,166,2.6
19716,Dustin May,LAD,SP,32,0,142,2.5
16511,Jordan Montgomery,STL,SP,31,0,176,2.5
11486,Robbie Ray,SEA,SP,32,0,191,2.5
15423,Andrew Heaney,TEX,SP,26,0,140,2.5
12304,Chris Bassitt,NA,SP,32,0,196,2.5
14916,Jon Gray,TEX,SP,31,0,174,2.5
19665,Kyle Wright,ATL,SP,31,0,184,2.5
14309,Frankie Montas,NYY,SP,29,0,166,2.4
9132,Nathan Eovaldi,NA,SP,28,0,155,2.4
17606,Cristian Javier,HOU,SP,29,0,168,2.3
13431,Marcus Stroman,CHC,SP,31,0,178,2.3
17874,Nestor Cortes,NYY,SP,29,0,170,2.3
15890,Luis Severino,NYY,SP,26,0,145,2.3
25436,George Kirby,SEA,SP,26,0,143,2.3
15038,Germán Márquez,COL,SP,32,0,193,2.2
17277,Ranger Suárez,PHI,SP,31,0,174,2.2
25385,Drew Rasmussen,TBR,SP,31,0,173,2.2
18000,Triston McKenzie,CLE,SP,31,0,184,2.2
12768,Sonny Gray,MIN,SP,28,0,151,2.2
13781,Alex Wood,SFG,SP,28,0,151,2.2
13164,Eduardo Rodriguez,DET,SP,29,0,169,2.2
22250,Logan Gilbert,SEA,SP,31,0,176,2.2
11156,Merrill Kelly,ARI,SP,32,0,197,2.1
23550,Aaron Ashby,MIL,SP,37,0,127,2.1
21390,Joe Ryan,MIN,SP,29,0,170,2.1
23920,Brayan Bello,BOS,SP,24,0,137,2.1
9803,Miles Mikolas,STL,SP,31,0,191,2.1
11423,José Quintana,NYM,SP,31,0,167,2
15474,Lucas Giolito,CHW,SP,31,0,176,2
18679,Freddy Peralta,MIL,SP,26,0,138,2
14168,José Berríos,TOR,SP,31,0,176,2
11674,Jameson Taillon,NA,SP,31,0,178,2
20191,Garrett Whitlock,BOS,SP,35,0,136,2
15873,Sean Manaea,NA,SP,28,0,154,1.9
22810,Roansy Contreras,PIT,SP,28,0,153,1.9
27468,Reid Detmers,LAA,SP,28,0,150,1.9
23735,Luis Garcia,HOU,SP,28,0,157,1.9
17312,Justin Steele,CHC,SP,26,0,143,1.9
19959,Jesús Luzardo,MIA,SP,26,0,146,1.9
14120,Lance McCullers Jr.,HOU,SP,26,0,148,1.9
6902,Martín Pérez,TEX,SP,32,0,191,1.9
16358,Tyler Mahle,MIN,SP,29,0,169,1.8
17578,JT Brubaker,PIT,SP,29,0,163,1.8
6632,Carlos Carrasco,NYM,SP,29,0,158,1.8
17677,Jeffrey Springs,TBR,SP,26,0,141,1.8
16207,Spencer Turnbull,DET,SP,39,0,137,1.8
12880,Tyler Anderson,LAA,SP,31,0,185,1.8
20302,David Peterson,NYM,SP,31,0,121,1.7
22286,Trevor Rogers,MIA,SP,35,0,132,1.7
27552,Graham Ashcraft,CIN,SP,26,0,150,1.7
2429,Corey Kluber,NA,SP,29,0,159,1.7
