Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,BsR,Fld,-1,Off,Def,WAR,-1,ADP,playerid
Vladimir Guerrero Jr.,TOR,150,665,584,171,32,1,40,102,114,67,102,7,6,3,,0.293,0.369,0.555,0.925,0.393,161,,-1.8,-0.9,,44,-13.6,5.4,,999,19611
Freddie Freeman,LAD,150,675,579,170,34,2,25,101,89,81,103,7,9,3,,0.293,0.383,0.49,0.873,0.375,145,,0,-0.7,,35.5,-13.2,4.7,,999,5361
Paul Goldschmidt,STL,150,666,580,159,32,1,29,91,95,74,144,5,6,2,,0.274,0.359,0.483,0.842,0.365,140,,-0.4,0.8,,30.6,-11.9,4.3,,999,9218
Pete Alonso,NYM,150,649,567,148,27,1,39,92,109,66,127,10,3,2,,0.262,0.347,0.521,0.869,0.368,145,,-2.5,0.1,,31.1,-12.5,4.2,,999,19251
Matt Olson,ATL,150,652,566,141,30,1,34,90,100,74,148,6,2,1,,0.249,0.34,0.487,0.827,0.355,127,,-1,3.1,,19.8,-9.4,3.4,,999,14344
Ty France,SEA,149,670,598,163,33,1,23,87,80,45,110,19,1,0,,0.273,0.341,0.448,0.789,0.343,130,,-1.5,1.9,,21,-11.3,3.3,,999,17982
Luis Arraez,MIN,139,636,566,173,33,3,7,81,55,55,54,4,7,3,,0.305,0.369,0.412,0.781,0.343,127,,0.1,2.8,,19.3,-8.5,3.3,,999,18568
Vinnie Pasquantino,KCR,130,558,487,136,29,2,24,74,82,61,75,6,2,1,,0.279,0.363,0.495,0.858,0.37,141,,-1.2,0.4,,24.3,-12.9,3.1,,999,27676
Nathaniel Lowe,TEX,146,634,558,151,26,3,26,79,85,64,147,4,4,2,,0.271,0.349,0.465,0.814,0.353,132,,-1.7,-0.5,,21.2,-12.7,3,,999,19566
Jose Miranda,MIN,139,587,534,144,32,1,21,70,77,37,100,9,2,1,,0.27,0.325,0.451,0.775,0.336,122,,-0.8,-5.3,,13.6,-4.4,2.9,,999,20538
Christian Walker,ARI,150,644,569,144,29,2,28,80,91,63,136,7,2,1,,0.253,0.332,0.457,0.789,0.342,119,,0,2.2,,14.4,-10.4,2.7,,999,13419
Rhys Hoskins,PHI,149,660,568,132,31,2,30,87,88,78,160,7,3,1,,0.233,0.33,0.451,0.781,0.341,119,,-1.7,1.6,,12.7,-10.9,2.5,,999,16472
Anthony Rizzo,NYY,131,587,503,121,21,1,27,79,76,60,105,18,7,3,,0.241,0.34,0.45,0.79,0.343,126,,-2.4,0.7,,14.8,-10.4,2.4,,999,3473
José Abreu,HOU,150,650,578,158,33,1,22,81,89,55,125,12,1,0,,0.273,0.346,0.448,0.794,0.346,128,,-1.6,-3.6,,18.7,-16.5,2.4,,999,15676
DJ LeMahieu,NYY,99,449,393,108,18,1,10,56,42,45,62,4,4,2,,0.274,0.352,0.402,0.754,0.334,119,,-0.7,1,,9,-1.3,2.3,,999,9874
Miguel Vargas,LAD,126,491,434,115,24,2,17,62,64,45,88,5,8,3,,0.264,0.337,0.447,0.784,0.341,122,,-0.1,-6.3,,12.6,-7.2,2.3,,999,20178
Rowdy Tellez,MIL,126,546,483,119,23,1,30,72,83,53,111,5,2,1,,0.247,0.326,0.486,0.812,0.346,123,,-1.7,0.6,,13.1,-10.3,2.2,,999,15679
Christian Bethancourt,TBR,73,287,265,66,13,1,11,32,36,15,67,2,3,1,,0.248,0.293,0.421,0.714,0.31,107,,-0.5,1.5,,1.7,6.7,2.1,,999,10028
Josh Naylor,CLE,130,536,480,128,28,1,22,66,73,44,87,6,5,2,,0.267,0.334,0.466,0.8,0.345,126,,-0.9,0.1,,14.9,-12.5,2,,999,18839
Triston Casas,BOS,128,524,445,110,25,2,21,64,65,68,116,5,3,1,,0.247,0.351,0.452,0.803,0.35,124,,-0.6,0.3,,13.7,-11.7,2,,999,22514
Josh Bell,,139,599,519,133,26,2,22,75,81,70,106,5,1,0,,0.257,0.348,0.442,0.79,0.344,126,,-2.2,-2.1,,15.1,-15.9,1.9,,999,13145
Ryan Mountcastle,BAL,141,600,545,139,26,1,26,72,81,44,152,5,4,2,,0.255,0.314,0.449,0.763,0.33,116,,-0.3,1.2,,10.6,-11.7,1.9,,999,18373
Joey Meneses,WSN,139,615,566,150,29,2,27,74,86,39,138,4,2,1,,0.264,0.315,0.467,0.781,0.335,115,,-1,-0.3,,9.9,-12.7,1.9,,999,14366
Wilmer Flores,SFG,118,495,441,110,23,1,16,55,57,43,81,6,1,0,,0.25,0.323,0.415,0.738,0.323,110,,-1.9,-2.1,,3.9,-6,1.5,,999,5827
Seth Brown,OAK,133,574,516,119,27,3,25,66,75,48,153,4,8,3,,0.231,0.3,0.435,0.735,0.317,112,,-0.7,-1.5,,7.1,-10.9,1.5,,999,18171
Garrett Cooper,MIA,130,569,503,129,27,2,16,64,65,52,145,9,2,1,,0.256,0.333,0.412,0.746,0.328,114,,-2.3,-0.3,,7,-11.9,1.5,,999,15279
Spencer Torkelson,DET,126,496,431,100,21,1,18,56,58,52,116,6,2,1,,0.233,0.321,0.417,0.739,0.324,113,,-0.7,1.7,,6.5,-8.9,1.4,,999,27465
Jonathan Aranda,TBR,84,338,300,77,16,1,10,38,39,28,77,5,2,1,,0.258,0.331,0.418,0.749,0.328,120,,-0.2,2,,7.3,-4.7,1.4,,999,21837
Harold Ramírez,TBR,107,451,418,118,26,1,10,50,54,22,77,7,5,2,,0.282,0.326,0.422,0.747,0.325,118,,-0.3,-1,,8.7,-11.2,1.2,,999,14387
Spencer Steer,CIN,104,431,381,92,20,1,17,51,53,38,94,6,3,1,,0.241,0.317,0.432,0.749,0.326,103,,-0.3,-1.5,,1.3,-4.2,1.2,,999,26323
