Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,BsR,Fld,-1,Off,Def,WAR,-1,ADP,playerid
Aaron Judge,,150,674,565,156,26,1,42,107,103,94,167,6,10,4,,0.276,0.381,0.548,0.93,0.393,158,,0,2.9,,44.6,-2.5,6.7,,999,15640
Julio Rodríguez,SEA,149,679,606,168,32,3,32,100,86,54,160,9,25,9,,0.277,0.343,0.499,0.841,0.361,142,,1.6,-1,,34,1.5,6,,999,23697
Mike Trout,LAA,150,677,572,147,28,2,40,105,100,88,179,8,3,1,,0.257,0.361,0.522,0.883,0.375,146,,-0.2,-4.8,,34.7,-2.9,5.6,,999,10155
Brandon Nimmo,,150,689,585,158,32,6,17,96,66,81,120,12,6,3,,0.271,0.369,0.435,0.805,0.354,131,,-0.2,-4.5,,24.5,-2,4.7,,999,12927
Michael Harris II,ATL,141,611,558,155,34,3,22,85,78,38,133,7,20,7,,0.277,0.328,0.468,0.796,0.343,120,,1.5,3,,15.4,5.4,4.3,,999,25931
George Springer,TOR,141,650,568,147,25,3,30,97,79,63,122,8,11,4,,0.258,0.339,0.474,0.813,0.352,132,,0.5,-1.6,,24,-4,4.3,,999,12856
Luis Robert Jr.,CHW,139,614,567,161,33,1,25,78,86,35,123,7,13,5,,0.283,0.329,0.476,0.806,0.347,128,,1.2,-2.6,,20.2,-0.7,4.1,,999,20043
Bryan Reynolds,PIT,150,675,589,157,30,5,24,91,83,67,144,10,7,3,,0.266,0.349,0.458,0.807,0.349,125,,-0.6,-6,,19.1,-3.7,4,,999,19326
Byron Buxton,MIN,130,586,527,126,28,3,32,82,82,42,163,9,9,3,,0.24,0.304,0.487,0.791,0.34,124,,0.9,3.6,,16.8,1,3.8,,999,14161
Riley Greene,DET,143,636,566,146,28,6,15,71,68,58,163,6,8,3,,0.258,0.33,0.408,0.739,0.324,113,,0.1,-0.9,,9.4,1.4,3.3,,999,25976
Daulton Varsho,ARI,130,582,519,124,25,3,24,77,68,48,133,6,15,5,,0.239,0.309,0.44,0.749,0.325,108,,1.6,4.1,,6.9,4.2,3.2,,999,19918
Cedric Mullins,BAL,147,680,608,153,32,4,20,90,66,53,128,8,30,9,,0.252,0.318,0.414,0.733,0.32,109,,2.2,-3.3,,9,-0.9,3.1,,999,17929
Harrison Bader,NYY,130,525,473,118,22,3,15,57,58,38,114,7,17,6,,0.248,0.312,0.405,0.717,0.313,105,,1.3,4.7,,4.1,6.8,2.9,,999,18030
Dylan Carlson,STL,125,509,446,113,27,3,13,61,57,48,99,7,5,2,,0.252,0.332,0.416,0.749,0.328,115,,0.2,-0.4,,9,1.2,2.9,,999,20126
Jose Siri,TBR,118,453,412,99,20,3,17,56,56,29,142,5,17,5,,0.241,0.297,0.428,0.725,0.315,110,,1.6,2.7,,6.7,4.7,2.7,,999,17452
Ramón Laureano,OAK,146,634,568,133,30,1,22,71,76,46,165,15,16,7,,0.234,0.305,0.409,0.715,0.313,109,,1.2,0.8,,7.8,-3.3,2.6,,999,17128
Trent Grisham,SDP,125,513,444,99,20,2,18,60,58,56,133,6,9,3,,0.222,0.316,0.398,0.714,0.315,106,,0.7,0.7,,4.3,2.7,2.6,,999,18564
Mike Yastrzemski,SFG,130,551,483,111,28,2,19,64,65,54,137,7,4,2,,0.23,0.314,0.415,0.729,0.319,107,,-0.1,-2.7,,4.3,-1.4,2.2,,999,14854
Myles Straw,CLE,134,532,470,119,23,2,3,58,42,51,88,3,20,5,,0.254,0.328,0.33,0.658,0.296,92,,2.6,3.8,,-2.4,6,2.2,,999,17620
Christopher Morel,CHC,107,447,400,94,18,3,17,53,55,37,126,4,11,5,,0.234,0.304,0.426,0.73,0.317,105,,0.4,-0.7,,2.9,1.5,2,,999,21897
