Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,BsR,Fld,-1,Off,Def,WAR,-1,ADP,playerid
Yordan Alvarez,HOU,138,603,519,148,31,2,36,91,104,71,124,7,2,1,,0.284,0.375,0.558,0.933,0.396,163,,-0.4,1.2,,42.2,-11.2,5.3,,999,19556
Alejandro Kirk,TOR,126,537,466,133,26,1,19,71,75,60,59,5,1,0,,0.286,0.371,0.469,0.84,0.366,142,,-2.3,0.1,,23,-1.4,4.6,,999,22581
George Springer,TOR,141,650,568,147,25,3,30,97,79,63,122,8,11,4,,0.258,0.339,0.474,0.813,0.352,132,,0.5,-1.6,,24,-4,4.3,,999,12856
Byron Buxton,MIN,130,586,527,126,28,3,32,82,82,42,163,9,9,3,,0.24,0.304,0.487,0.791,0.34,124,,0.9,3.6,,16.8,1,3.8,,999,14161
Eloy Jiménez,CHW,146,627,569,155,27,1,33,82,98,47,142,5,1,0,,0.273,0.332,0.496,0.828,0.357,134,,-0.5,-2.6,,23.6,-12,3.3,,999,17484
Luis Arraez,MIN,139,636,566,173,33,3,7,81,55,55,54,4,7,3,,0.305,0.369,0.412,0.781,0.343,127,,0.1,2.8,,19.3,-8.5,3.3,,999,18568
Shohei Ohtani,LAA,147,657,565,144,27,4,35,95,97,79,169,5,17,7,,0.255,0.349,0.504,0.853,0.361,136,,-0.1,0,,26.4,-17.2,3.2,,999,19755
Vinnie Pasquantino,KCR,130,558,487,136,29,2,24,74,82,61,75,6,2,1,,0.279,0.363,0.495,0.858,0.37,141,,-1.2,0.4,,24.3,-12.9,3.1,,999,27676
Willson Contreras,,122,543,468,112,23,1,21,70,64,51,130,17,5,2,,0.24,0.333,0.429,0.763,0.335,118,,-1.3,0.3,,9.7,5.6,3.1,,999,11609
Ketel Marte,ARI,134,602,535,143,37,2,16,76,68,52,104,7,5,2,,0.267,0.338,0.435,0.773,0.336,115,,-0.4,-1.9,,10.2,-1.4,3.1,,999,13613
Giancarlo Stanton,NYY,131,574,505,125,19,1,34,76,89,61,164,3,1,0,,0.247,0.329,0.489,0.818,0.352,132,,-2,0,,18.8,-14.1,2.4,,999,4949
Bryce Harper,PHI,78,342,289,77,18,1,16,48,50,47,72,3,7,3,,0.267,0.372,0.501,0.873,0.372,140,,-0.8,-0.5,,15.2,-8,2,,999,11579
Austin Meadows,DET,123,560,494,122,26,4,20,72,60,52,107,6,6,2,,0.247,0.324,0.435,0.76,0.331,118,,-1.5,-1.4,,9.6,-9.8,1.9,,999,15672
Salvador Perez,KCR,134,590,550,139,25,1,30,71,87,25,141,9,1,0,,0.252,0.294,0.466,0.76,0.325,109,,-2.1,4.4,,4.2,7.5,1.8,,999,7304
Justin Turner,,130,550,486,128,28,1,14,62,63,50,96,8,2,1,,0.264,0.34,0.411,0.751,0.331,115,,-2.2,-3.7,,7.1,-8.4,1.7,,999,5235
Kris Bryant,COL,126,568,498,134,31,2,20,78,69,55,116,7,5,2,,0.27,0.348,0.459,0.807,0.351,112,,0.5,-3.5,,8.6,-11.8,1.7,,999,15429
Kerry Carpenter,DET,107,448,407,103,21,2,20,53,60,30,99,6,5,2,,0.252,0.311,0.458,0.77,0.331,118,,-0.6,-0.2,,8.3,-7.2,1.6,,999,25961
