Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,BsR,Fld,-1,Off,Def,WAR,-1,ADP,playerid
Juan Soto,SDP,150,675,524,148,27,2,33,112,95,137,93,5,9,4,,0.282,0.431,0.53,0.961,0.412,173,,-1.1,-0.9,,55.9,-11.3,7.1,,999,20123
Aaron Judge,,150,674,565,156,26,1,42,107,103,94,167,6,10,4,,0.276,0.381,0.548,0.93,0.393,158,,0,2.9,,44.6,-2.5,6.7,,999,15640
Mookie Betts,LAD,150,693,603,163,36,3,31,108,85,71,110,9,15,4,,0.27,0.353,0.493,0.845,0.365,139,,1.8,6.8,,33.1,0,5.9,,999,13611
Ronald Acuña Jr.,ATL,149,690,586,159,32,1,31,111,82,81,157,12,36,11,,0.271,0.368,0.488,0.856,0.37,138,,4.1,1.8,,34.3,-5,5.5,,999,18401
Kyle Tucker,HOU,150,628,559,157,33,3,34,91,101,59,100,3,19,6,,0.281,0.351,0.531,0.882,0.376,149,,1.1,0.9,,35.7,-6.9,5.1,,999,18345
Seiya Suzuki,CHC,139,624,541,142,28,2,26,85,79,68,137,7,10,5,,0.262,0.35,0.466,0.816,0.352,128,,-0.8,0.3,,19.7,-7.6,3.5,,999,30116
Daulton Varsho,ARI,130,582,519,124,25,3,24,77,68,48,133,6,15,5,,0.239,0.309,0.44,0.749,0.325,108,,1.6,4.1,,6.9,4.2,3.2,,999,19918
Starling Marte,NYM,139,629,570,152,28,4,17,82,70,37,125,13,24,8,,0.268,0.325,0.422,0.747,0.326,116,,2.2,-7.3,,14,-5.3,3.1,,999,9241
Lars Nootbaar,STL,107,474,406,100,18,2,19,66,54,58,100,4,7,3,,0.247,0.344,0.444,0.788,0.344,126,,0.1,1.6,,14.2,-2.2,2.9,,999,21454
Dylan Carlson,STL,125,509,446,113,27,3,13,61,57,48,99,7,5,2,,0.252,0.332,0.416,0.749,0.328,115,,0.2,-0.4,,9,1.2,2.9,,999,20126
Taylor Ward,LAA,141,611,534,139,28,2,22,77,79,65,135,7,6,2,,0.26,0.345,0.444,0.789,0.345,125,,-0.3,-2.8,,16.6,-9.6,2.8,,999,17548
Ramón Laureano,OAK,146,634,568,133,30,1,22,71,76,46,165,15,16,7,,0.234,0.305,0.409,0.715,0.313,109,,1.2,0.8,,7.8,-3.3,2.6,,999,17128
Alex Verdugo,BOS,147,660,596,168,38,2,16,83,70,49,97,5,5,2,,0.281,0.339,0.431,0.77,0.335,114,,0.3,-0.6,,10.5,-8,2.5,,999,17027
Giancarlo Stanton,NYY,131,574,505,125,19,1,34,76,89,61,164,3,1,0,,0.247,0.329,0.489,0.818,0.352,132,,-2,0,,18.8,-14.1,2.4,,999,4949
Jake McCarthy,ARI,141,611,548,142,28,6,15,71,71,49,132,8,28,10,,0.258,0.325,0.417,0.742,0.325,108,,2.4,-0.2,,7.7,-5.7,2.4,,999,21622
Mike Yastrzemski,SFG,130,551,483,111,28,2,19,64,65,54,137,7,4,2,,0.23,0.314,0.415,0.729,0.319,107,,-0.1,-2.7,,4.3,-1.4,2.2,,999,14854
Teoscar Hernández,SEA,143,602,550,138,28,1,28,72,84,40,167,5,8,3,,0.25,0.305,0.456,0.761,0.329,120,,-0.1,-3.6,,13.3,-12.4,2.1,,999,13066
Andrew Vaughn,CHW,141,594,537,143,29,1,23,72,77,43,107,8,1,1,,0.266,0.327,0.453,0.78,0.339,121,,-1.5,0.5,,12.8,-11.9,2.1,,999,26197
Austin Hays,BAL,144,587,535,134,29,2,20,67,72,35,115,9,5,2,,0.251,0.306,0.428,0.733,0.319,108,,0,2.7,,5.5,-4.4,2.1,,999,19363
Oscar Gonzalez,CLE,130,523,489,135,27,1,21,61,74,23,100,4,2,1,,0.275,0.311,0.468,0.779,0.334,118,,-0.6,0.3,,10.3,-7.3,2.1,,999,20970
Mitch Haniger,SFG,134,606,539,135,25,2,25,78,75,52,141,7,2,1,,0.251,0.324,0.444,0.768,0.333,117,,-1.2,-1.9,,10.5,-11.6,2,,999,14274
Manuel Margot,TBR,128,533,482,125,25,3,11,57,55,41,94,4,12,5,,0.259,0.319,0.391,0.71,0.312,108,,0.8,1.1,,5.6,-3.3,2,,999,14712
Anthony Santander,BAL,150,651,589,144,30,1,30,79,92,47,130,9,2,1,,0.245,0.309,0.45,0.759,0.329,115,,-0.4,-3.1,,10.7,-13.2,1.9,,999,14551
Joey Meneses,WSN,139,615,566,150,29,2,27,74,86,39,138,4,2,1,,0.264,0.315,0.467,0.781,0.335,115,,-1,-0.3,,9.9,-12.7,1.9,,999,14366
Austin Meadows,DET,123,560,494,122,26,4,20,72,60,52,107,6,6,2,,0.247,0.324,0.435,0.76,0.331,118,,-1.5,-1.4,,9.6,-9.8,1.9,,999,15672
Trayce Thompson,LAD,115,478,421,92,18,1,24,59,67,46,159,5,5,2,,0.22,0.302,0.439,0.741,0.321,108,,-0.1,-2.5,,4.6,-2.9,1.9,,999,9952
Hunter Renfroe,LAA,131,543,490,118,24,1,29,67,78,43,126,4,2,1,,0.24,0.305,0.469,0.773,0.333,116,,-1.4,-1.7,,8.6,-8.2,1.9,,999,15464
Max Kepler,MIN,120,513,448,103,22,2,18,60,63,55,89,6,5,2,,0.23,0.319,0.407,0.726,0.319,109,,0,1.6,,5.4,-4.4,1.8,,999,12144
Adolis García,TEX,150,648,598,140,28,3,27,74,87,38,187,6,17,7,,0.233,0.284,0.428,0.711,0.307,100,,0.3,4.5,,0.1,-4.5,1.7,,999,19287
Oswaldo Cabrera,NYY,105,442,399,95,20,2,17,51,56,34,107,3,10,4,,0.238,0.301,0.424,0.725,0.315,106,,-0.1,3.4,,3,-1.4,1.7,,999,21707
Kerry Carpenter,DET,107,448,407,103,21,2,20,53,60,30,99,6,5,2,,0.252,0.311,0.458,0.77,0.331,118,,-0.6,-0.2,,8.3,-7.2,1.6,,999,25961
Bryan De La Cruz,MIA,117,470,431,113,23,1,15,50,56,29,113,3,5,2,,0.263,0.312,0.427,0.739,0.321,109,,-0.5,-6.1,,4.6,-5.8,1.5,,999,19600
Brian Anderson,,120,505,446,103,21,1,14,54,55,46,134,8,3,1,,0.232,0.313,0.38,0.693,0.305,97,,-0.3,-1.6,,-1.9,-0.7,1.5,,999,18289
Jack Suwinski,PIT,89,365,318,72,15,1,17,43,47,39,105,4,4,2,,0.225,0.315,0.435,0.75,0.327,110,,-0.2,1.7,,4.2,-3.8,1.3,,999,22244
