Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,BsR,Fld,-1,Off,Def,WAR,-1,ADP,playerid
Fernando Tatis Jr.,SDP,125,552,481,136,26,2,37,92,94,59,125,6,20,7,,0.283,0.365,0.574,0.939,0.398,163,,2,-0.8,,42.7,-6,5.8,,999,19709
Wander Franco,TBR,144,649,583,167,37,6,16,88,76,53,70,5,10,4,,0.287,0.349,0.455,0.804,0.349,134,,0.7,0.8,,25.6,7.2,5.6,,999,23667
Carlos Correa,,147,647,567,155,30,1,25,85,83,67,123,5,1,1,,0.273,0.352,0.463,0.816,0.354,131,,-0.9,-1.6,,22.1,5.8,5.2,,999,14162
Trea Turner,,150,687,624,177,34,4,21,94,77,47,120,5,23,6,,0.284,0.337,0.45,0.788,0.342,120,,3.2,-4.4,,18.8,2.8,4.7,,999,16252
Corey Seager,TEX,143,641,566,154,32,2,27,88,83,60,101,7,3,1,,0.272,0.346,0.479,0.825,0.355,133,,-0.1,-4.7,,24,0.2,4.7,,999,13624
Francisco Lindor,NYM,150,666,594,148,26,4,25,82,86,58,125,8,13,5,,0.25,0.322,0.431,0.753,0.328,117,,-0.3,0.8,,13,8.3,4.6,,999,12916
Xander Bogaerts,,149,648,574,156,34,1,19,77,82,62,122,7,6,2,,0.271,0.347,0.433,0.78,0.341,122,,0.3,-2,,16.6,5.4,4.5,,999,12161
Bo Bichette,TOR,150,672,617,174,38,1,26,94,91,42,135,5,15,5,,0.281,0.33,0.476,0.806,0.348,129,,0.6,-10,,22.7,-2.5,4.4,,999,19612
Marcus Semien,TEX,150,692,618,154,30,3,26,92,74,59,122,4,19,6,,0.25,0.318,0.435,0.753,0.328,114,,2,2.2,,13.2,5.3,4.3,,999,12533
Bobby Witt Jr.,KCR,149,669,613,161,35,5,26,89,84,40,134,7,27,10,,0.263,0.313,0.463,0.776,0.334,115,,2,2.1,,13.3,5.3,4.2,,999,25764
Andrés Giménez,CLE,144,596,535,143,29,3,19,72,75,37,118,17,17,6,,0.267,0.332,0.437,0.769,0.334,118,,0.9,2.9,,13.2,5.7,4,,999,19950
Willy Adames,MIL,146,653,580,142,30,1,28,85,81,61,173,3,8,4,,0.244,0.316,0.442,0.758,0.328,111,,0.8,-1.5,,9.3,5.8,3.9,,999,15986
