Totals,...2,...3,...4,...5,...6,...7,11,"$148,000,000","$13,454,545"
Average,NA,NA,NA,NA,NA,NA,3.67,"$49,333,333","$13,454,545"
Player (3),Pos.,Age,Bats,Throws,From,To,Yrs,Dollars,Average Salary
CorreaCarlos Correa,SS,28.1,R,R,MIN,TBD,"0  Market Value: $31,752,678","0  Market Value: $31,752,678","0  Market Value: $31,752,678"
PriceDavid Price,SP,37.2,L,L,LAD,TBD,0-,0-,0-
deGromJacob deGrom,SP,34.3,L,R,NYM,TBD,"0  Market Value: $45,111,765","0  Market Value: $45,111,765","0  Market Value: $45,111,765"
VerlanderJustin Verlander,SP,39.7,R,R,HOU,TBD,"0  Market Value: $45,336,103","0  Market Value: $45,336,103","0  Market Value: $45,336,103"
RodonCarlos Rodon,SP,29.9,L,L,SF,TBD,"0  Market Value: $32,478,220","0  Market Value: $32,478,220","0  Market Value: $32,478,220"
MartinezJ.D. Martinez,DH,35.2,R,R,BOS,TBD,"0  Market Value: $15,199,843","0  Market Value: $15,199,843","0  Market Value: $15,199,843"
TurnerTrea Turner,SS,29.3,R,R,LAD,TBD,"0  Market Value: $33,616,679","0  Market Value: $33,616,679","0  Market Value: $33,616,679"
SyndergaardNoah Syndergaard,SP,30.2,L,R,PHI,TBD,"0  Market Value: $15,287,228","0  Market Value: $15,287,228","0  Market Value: $15,287,228"
BogaertsXander Bogaerts,SS,30.1,R,R,BOS,TBD,"0  Market Value: $29,555,829","0  Market Value: $29,555,829","0  Market Value: $29,555,829"
JudgeAaron Judge,RF,30.5,R,R,NYY,TBD,"0  Market Value: $37,936,277","0  Market Value: $37,936,277","0  Market Value: $37,936,277"
BeltBrandon Belt,1B,34.5,L,L,SF,TBD,"0  Market Value: $16,090,407","0  Market Value: $16,090,407","0  Market Value: $16,090,407"
TurnerJustin Turner,3B,37.9,R,R,LAD,TBD,"0  Market Value: $8,663,516","0  Market Value: $8,663,516","0  Market Value: $8,663,516"
EovaldiNathan Eovaldi,SP,32.7,R,R,BOS,TBD,"0  Market Value: $16,733,880","0  Market Value: $16,733,880","0  Market Value: $16,733,880"
AbreuJose Abreu,1B,35.8,R,R,CHW,TBD,"0  Market Value: $12,748,090","0  Market Value: $12,748,090","0  Market Value: $12,748,090"
LongoriaEvan Longoria,3B,37.1,R,R,SF,TBD,"0  Market Value: $5,210,717","0  Market Value: $5,210,717","0  Market Value: $5,210,717"
ChapmanAroldis Chapman,RP,34.7,L,L,NYY,TBD,"0  Market Value: $6,654,567","0  Market Value: $6,654,567","0  Market Value: $6,654,567"
RizzoAnthony Rizzo,1B,33.2,L,L,NYY,TBD,"0  Market Value: $21,422,347","0  Market Value: $21,422,347","0  Market Value: $21,422,347"
BrantleyMichael Brantley,LF,35.4,L,L,HOU,TBD,"0  Market Value: $8,030,809","0  Market Value: $8,030,809","0  Market Value: $8,030,809"
JansenKenley Jansen,RP,35.1,S,R,ATL,TBD,"0  Market Value: $13,844,487","0  Market Value: $13,844,487","0  Market Value: $13,844,487"
