"","player_name","Pos.","Age","Bats","Throws","From","To","exp_salary_char","exp_salary"
"1","Carlos Correa","SS","28.1","R","R","MIN","TBD","$31,752,678",31752678
"2","David Price","SP","37.2","L","L","LAD","TBD","$2,000,000",2e+06
"3","Jacob deGrom","SP","34.3","L","R","NYM","TBD","$45,111,765",45111765
"4","Justin Verlander","SP","39.7","R","R","HOU","TBD","$45,336,103",45336103
"5","Carlos Rodon","SP","29.9","L","L","SF","TBD","$32,478,220",32478220
"6","J.D. Martinez","DH","35.2","R","R","BOS","TBD","$15,199,843",15199843
"7","Trea Turner","SS","29.3","R","R","LAD","TBD","$33,616,679",33616679
"8","Noah Syndergaard","SP","30.2","L","R","PHI","TBD","$15,287,228",15287228
"9","Xander Bogaerts","SS","30.1","R","R","BOS","TBD","$29,555,829",29555829
"10","Aaron Judge","RF","30.5","R","R","NYY","TBD","$37,936,277",37936277
"11","Brandon Belt","1B","34.5","L","L","SF","TBD","$16,090,407",16090407
"12","Justin Turner","3B","37.9","R","R","LAD","TBD","$8,663,516",8663516
"13","Nathan Eovaldi","SP","32.7","R","R","BOS","TBD","$16,733,880",16733880
"14","Jose Abreu","1B","35.8","R","R","CHW","TBD","$12,748,090",12748090
"15","Evan Longoria","3B","37.1","R","R","SF","TBD","$5,210,717",5210717
"16","Aroldis Chapman","RP","34.7","L","L","NYY","TBD","$6,654,567",6654567
"17","Anthony Rizzo","1B","33.2","L","L","NYY","TBD","$21,422,347",21422347
"18","Michael Brantley","LF","35.4","L","L","HOU","TBD","$8,030,809",8030809
"19","Kenley Jansen","RP","35.1","S","R","ATL","TBD","$13,844,487",13844487
"20","Nelson Cruz","DH","42.3","R","R","WSH","TBD","$10,319,369",10319369
"21","Craig Kimbrel","RP","34.4","R","R","LAD","TBD","$6,199,461",6199461
"22","Jean Segura","2B","32.6","R","R","PHI","TBD","$4,948,750",4948750
"23","Wil Myers","RF","31.9","R","R","SD","TBD","$10,982,775",10982775
"24","Will Smith","RP","33.3","R","L","HOU","TBD","$2,000,000",2e+06
"25","Zack Britton","RP","34.8","L","L","NYY","TBD","$2,000,000",2e+06
"26","Zack Greinke","SP","39.0","R","R","KC","TBD","$10,439,187",10439187
"27","A.J. Pollock","LF","34.9","R","R","CHW","TBD","$12,842,511",12842511
"28","Joey Gallo","LF","28.9","L","R","LAD","TBD","$8,919,649",8919649
"29","Dansby Swanson","SS","28.7","R","R","ATL","TBD","$24,801,755",24801755
"30","Corey Knebel","RP","30.9","R","R","PHI","TBD","$5,174,002",5174002
"31","Josh Bell","1B","30.2",NA,"R","SD","TBD","$13,831,870",13831870
"32","Miguel Sano","1B","29.4","R","R","MIN","TBD","$2,000,000",2e+06
"33","Sean Manaea","SP","30.8","R","L","SD","TBD","$11,981,447",11981447
"34","Willson Contreras","C","30.4","R","R","CHC","TBD","$16,418,684",16418684
"35","Kyle Gibson","SP","35.0","R","R","PHI","TBD","$12,095,550",12095550
"36","Adam Duvall","RF","34.2","R","R","ATL","TBD","$6,989,934",6989934
"37","Mike Minor","SP","34.8","R","L","CIN","TBD","$2,000,000",2e+06
"38","Gary Sanchez","C","29.9","R","R","MIN","TBD","$6,400,157",6400157
