playerid,Name,Team,POS,G,PA,IP,WAR,value,spotrac
10954,Jacob deGrom,FA,SP,29,0,172,5.5,45111765,FA
19361,Corbin Burnes,MIL,SP,32,0,197,4.9,NA,NA
16137,Carlos Rodón,FA,SP,31,0,181,4.7,32478220,FA
13125,Gerrit Cole,NYY,SP,32,0,197,4.4,NA,NA
19755,Shohei Ohtani,LAA,SP,29,0,173,4.4,NA,NA
3137,Max Scherzer,NYM,SP,31,0,191,4.3,NA,NA
8700,Justin Verlander,FA,SP,31,0,190,4.2,45336103,FA
16149,Aaron Nola,PHI,SP,32,0,199,4.2,NA,NA
21483,Shane McClanahan,TBR,SP,31,0,184,4,NA,NA
18684,Sandy Alcantara,MIA,SP,32,0,211,4,NA,NA
10310,Zack Wheeler,PHI,SP,31,0,189,3.9,NA,NA
27498,Spencer Strider,ATL,SP,28,0,154,3.7,NA,NA
17295,Framber Valdez,HOU,SP,31,0,196,3.7,NA,NA
19427,Shane Bieber,CLE,SP,32,0,203,3.7,NA,NA
16162,Brandon Woodruff,MIL,SP,31,0,182,3.7,NA,NA
26378,Nick Lodolo,CIN,SP,29,0,176,3.7,NA,NA
14107,Kevin Gausman,TOR,SP,31,0,181,3.7,NA,NA
15689,Luis Castillo,SEA,SP,32,0,195,3.5,NA,NA
14374,Tyler Glasnow,TBR,SP,28,0,160,3.4,NA,NA
18525,Dylan Cease,CHW,SP,32,0,188,3.3,NA,NA
13743,Max Fried,ATL,SP,31,0,190,3.2,NA,NA
2036,Clayton Kershaw,LAD,SP,28,0,163,3.2,NA,NA
22182,Hunter Greene,CIN,SP,29,0,168,3.2,NA,NA
13543,Blake Snell,SDP,SP,29,0,160,3.1,NA,NA
6562,Alex Cobb,SFG,SP,29,0,166,3.1,NA,NA
25377,Brady Singer,KCR,SP,31,0,184,3.1,NA,NA
12970,Joe Musgrove,SDP,SP,32,0,191,3.1,NA,NA
13074,Yu Darvish,SDP,SP,32,0,200,3.1,NA,NA
19291,Zac Gallen,ARI,SP,31,0,182,3,NA,NA
17995,Logan Webb,SFG,SP,32,0,193,3,NA,NA
10603,Chris Sale,BOS,SP,26,0,151,3,NA,NA
17085,Pablo López,MIA,SP,31,0,178,2.8,NA,NA
2520,Lance Lynn,CHW,SP,31,0,183,2.8,NA,NA
14765,Julio Urías,LAD,SP,32,0,190,2.8,NA,NA
4676,Charlie Morton,ATL,SP,29,0,166,2.6,NA,NA
26410,Alek Manoah,TOR,SP,32,0,199,2.6,NA,NA
