Team,SP,SP1,SP2,SP3,SP4,SP5,RP,C,1B,2B,3B,SS,LF,CF,RF,DH
ARI,8.4,3,2.1,1.1,0.8,0.8,0.6000000000000001,5.9,2.7,3.2,3.1,1.9,3.1,0.8,2.6,0
ATL,14.1,3.7,3.2,2.6,2.5,1,4.5,3.5,3.4,5.6,4.4,1.2000000000000002,0.19999999999999998,4.3,5.5,2.3
BAL,4.7,1.7,1.4,0.8,0.8,0,2.6,6.4,1.9,0.3,4.5,4.9,2.9,3.1,1.9,0
BOS,10,3,2.1,2,1.5,1.2,4.1,3.3,2.9,1.7,4.8,3.1,3.5,2.4,1.2,0
CHC,5.8,2.3,1.9,0.7,0.6,0.3,2,2.4,0.2,1.9000000000000001,1.8,3.6,2.8,2.8,4.1,0.3
CHW,9.1,3.3,2.8,2,1,0,4.7,3.5999999999999996,2.1,2.9,3.2,4.2,0.1,4.1,1.2,3.3
CIN,8.6,3.7,3.2,1.7,0.2,0.1,3,2.3,0.3,3,1.2,2.2,2.7,1.2,0,-0.3
CLE,9.200000000000001,3.7,2.2,1.5,1.1,0.7,3.4,3.2,2.2,4,5.5,3.8,4.4,2.2,3.2,0
COL,5.2,2.2,1.3,1.1,0.5,0.1,1.2,1.7,1,2.7,2.9,3.2,2.6,0.9,1,0
DET,6.800000000000001,2.2,1.8,1.3,1.1,0.4,1.3,2.1,1.5999999999999999,1.4,2.9,2.7,1.4,3.3,2.6,1.2000000000000002
HOU,10.9,3.7,2.3,1.9,1.9,1.1,3.3000000000000003,1.9,0,5,5.2,2.5,5.3,3.4000000000000004,5.1,0.2
KCR,6.5,3.1,1.2,1,0.9,0.3,1.8,2.1,3.9,2.1,4.2,1.3,0.8,1.5,1.8,2.2
LAA,10.6,4.4,2.6,1.9,1.2,0.4,0.6000000000000001,3.2,1.1,3.3,3.4,0.30000000000000004,0.4,5.6,2.8,3.2
LAD,10.8,3.2,2.8,2.5,1.4,0.7,4,5.699999999999999,4.7,2.8,2.5,0.6,7.3,0,5.9,1.8
MIA,12.2,4,2.8,1.9,1.7,1.4,3.4,3.1999999999999997,1.8,4,5.5,2,0.8,2.4,1.1,1.3
MIL,14,4.9,3.7,2.1,2,1.3,2.2,2.4,2.4000000000000004,2.4,3.5,5.3,3,4,1.9,0
MIN,9,2.2,2.1,1.8,1.5,1.2,4.2,2.5,2.9,3.3,1.2,5.5,3,4.3999999999999995,2,0
NYM,7.8,4.3,1.8,1.7,0,0,4.3,3.5,4.4,5.5,3.0999999999999996,4.6,2.1,0.7,3.1,2.1
NYY,12.4,4.4,2.4,2.3,2.3,1,3,4.3,0,3.4,3.9,4.2,0,5.4,1.7,2.4
OAK,5.5,1.5,1.4,1.3,1,0.3,0.8,4.3,1.8,3.5999999999999996,1.8,1.6,0,1.4,3.6,1.4
PHI,10.9,4.2,3.9,2.2,0.6,0,4.1,4.8999999999999995,2.5,0.2,2.6,3.0999999999999996,2.6,1.8,0.8,2.4
PIT,6.6,1.9,1.8,1.7,1,0.2,2.3,4.3,0,3.7,3.2,3.8,2.6,5.2,1.1,0
SDP,10.9,3.1,3.1,3.1,1.2,0.4,4,3.4,0,3,6.800000000000001,3.4,5.8,3.2,7.1,0.9
SEA,11,3.5,2.5,2.3,2.2,0.5,3.3000000000000003,4.7,3.3,1.1,2.4,2.9,1.5,7.3,3.5,0
SFG,9.9,3.1,3,2.2,0.9,0.7,2.3,1.8,1.5,2.7,4.1,2,0,1.2,3.6,0.9
STL,7.6,2.5,2.1,1.3,1.2,0.5,3.9,2.1999999999999997,4.3,4.4,5.2,4.2,3.8,2.9,3.1999999999999997,0
TBR,11.5,4,3.4,2.2,1.8,0.1,2.8,3.3000000000000003,1.1,5.7,7,6.5,3,3.8000000000000003,3,1.2
TEX,2.7,2.5,0.2,0,0,0,3.4000000000000004,3.6,3,4.3,3.9000000000000004,4.7,0.9,1.6,1.7,1.3
TOR,8.3,3.7,2.6,2,0,0,5.4,7.699999999999999,5.5,4,3.5,5.1000000000000005,1.6,4.3,2.1,0
WSN,6.7,1.6,1.3,1.2,1.1,1,1.6,2.8,1.9,1.6,0.7,2.7,2.9000000000000004,0.9,0.1,0.6
