...1,Team,exp_cap,category,max,ts_perc,aggress,max_favs,ts_perc_favs,aggress_fav,max_equal,ts_perc_equal,aggress_equal,space_default,space.real.favs,space.real.eq,space.favs.real,space_favs,space.favs.eq,space.eq.real,space.eq.favs,space_equal
1,ARI,101719966,under-dog,173000000,0.5,0.9,160000000,0.4,0.8,233000000,1,1,35640017,28512013.6,71280034,29140017,23312013.6,58280034,65640017,52512013.6,131280034
2,ATL,221629211,favorite,233000000,1,1.1,250000000,1.1,1.3,233000000,1,1,11370789,12507867.9,11370789,28370789,31207867.9,28370789,11370789,12507867.9,11370789
3,BAL,62992001,contender,173000000,0.75,1,160000000,0.85,1.2,233000000,1,1,82505999.25,93506799.15,110007999,72755999.25,82456799.15,97007999,127505999.25,144506799.15,170007999
4,BOS,151341928,under-dog,263000000,0.5,0.9,280000000,0.4,0.8,233000000,1,1,55829036,44663228.8,111658072,64329036,51463228.8,128658072,40829036,32663228.8,81658072
5,CHC,137937672,under-dog,233000000,0.5,0.9,250000000,0.4,0.8,233000000,1,1,47531164,38024931.2,95062328,56031164,44824931.2,112062328,47531164,38024931.2,95062328
6,CHW,175089067,under-dog,263000000,0.5,0.9,280000000,0.4,0.8,233000000,1,1,43955466.5,35164373.2,87910933,52455466.5,41964373.2,104910933,28955466.5,23164373.2,57910933
7,CIN,91133510,rebuilding,203000000,0.25,0.8,190000000,0.15,0.7,233000000,1,1,27966622.5,16779973.5,111866490,24716622.5,14829973.5,98866490,35466622.5,21279973.5,141866490
8,CLE,98875844,contender,173000000,0.75,1,160000000,0.85,1.2,233000000,1,1,55593117,63005532.6,74124156,45843117,51955532.6,61124156,100593117,114005532.6,134124156
9,COL,171600410,rebuilding,203000000,0.25,0.8,190000000,0.15,0.7,233000000,1,1,7849897.5,4709938.5,31399590,4599897.5,2759938.5,18399590,15349897.5,9209938.5,61399590
10,DET,127584390,under-dog,203000000,0.5,0.9,190000000,0.4,0.8,233000000,1,1,37707805,30166244,75415610,31207805,24966244,62415610,52707805,42166244,105415610
11,HOU,165798816,favorite,233000000,1,1.1,250000000,1.1,1.3,233000000,1,1,67201184,73921302.4,67201184,84201184,92621302.4,84201184,67201184,73921302.4,67201184
12,KC,89214816,rebuilding,173000000,0.25,0.8,160000000,0.15,0.7,233000000,1,1,20946296,12567777.6,83785184,17696296,10617777.6,70785184,35946296,21567777.6,143785184
13,LAA,170602982,under-dog,233000000,0.5,0.9,250000000,0.4,0.8,233000000,1,1,31198509,24958807.2,62397018,39698509,31758807.2,79397018,31198509,24958807.2,62397018
14,LAD,188440828,favorite,263000000,1,1.1,280000000,1.1,1.3,233000000,1,1,74559172,82015089.2,74559172,91559172,100715089.2,91559172,44559172,49015089.2,44559172
15,MIA,111600746,rebuilding,173000000,0.25,0.8,160000000,0.15,0.7,233000000,1,1,15349813.5,9209888.1,61399254,12099813.5,7259888.1,48399254,30349813.5,18209888.1,121399254
16,MIL,148537938,contender,203000000,0.75,1,190000000,0.85,1.2,233000000,1,1,40846546.5,46292752.7,54462062,31096546.5,35242752.7,41462062,63346546.5,71792752.7,84462062
17,MIN,110725357,under-dog,203000000,0.5,0.9,190000000,0.4,0.8,233000000,1,1,46137321.5,36909857.2,92274643,39637321.5,31709857.2,79274643,61137321.5,48909857.2,122274643
18,NYM,243452328,favorite,263000000,1,1.1,280000000,1.1,1.3,233000000,1,1,19547672,21502439.2,19547672,36547672,40202439.2,36547672,-10452328,-11497560.8,-10452328
19,NYY,195963027,favorite,263000000,1,1.1,280000000,1.1,1.3,233000000,1,1,67036973,73740670.3,67036973,84036973,92440670.3,84036973,37036973,40740670.3,37036973
20,OAK,50926176,rebuilding,173000000,0.25,0.8,160000000,0.15,0.7,233000000,1,1,30518456,18311073.6,122073824,27268456,16361073.6,109073824,45518456,27311073.6,182073824
21,PHI,172612219,favorite,263000000,1,1.1,280000000,1.1,1.3,233000000,1,1,90387781,99426559.1,90387781,107387781,118126559.1,107387781,60387781,66426559.1,60387781
22,PIT,65331968,rebuilding,173000000,0.25,0.8,160000000,0.15,0.7,233000000,1,1,26917008,16150204.8,107668032,23667008,14200204.8,94668032,41917008,25150204.8,167668032
23,SD,198399703,favorite,263000000,1,1.1,280000000,1.1,1.3,233000000,1,1,64600297,71060326.7,64600297,81600297,89760326.7,81600297,34600297,38060326.7,34600297
24,SEA,160250207,contender,203000000,0.75,1,190000000,0.85,1.2,233000000,1,1,32062344.75,36337324.05,42749793,22312344.75,25287324.05,29749793,54562344.75,61837324.05,72749793
25,SF,121004470,contender,233000000,0.75,1,250000000,0.85,1.2,233000000,1,1,83996647.5,95196200.5,111995530,96746647.5,109646200.5,128995530,83996647.5,95196200.5,111995530
26,STL,165120737,contender,233000000,0.75,1,250000000,0.85,1.2,233000000,1,1,50909447.25,57697373.55,67879263,63659447.25,72147373.55,84879263,50909447.25,57697373.55,67879263
27,TB,112020312,contender,203000000,0.75,1,190000000,0.85,1.2,233000000,1,1,68234766,77332734.8,90979688,58484766,66282734.8,77979688,90734766,102832734.8,120979688
28,TEX,126675058,under-dog,233000000,0.5,0.9,250000000,0.4,0.8,233000000,1,1,53162471,42529976.8,106324942,61662471,49329976.8,123324942,53162471,42529976.8,106324942
29,TOR,215561766,contender,233000000,0.75,1,250000000,0.85,1.2,233000000,1,1,13078675.5,14822498.9,17438234,25828675.5,29272498.9,34438234,13078675.5,14822498.9,17438234
30,WSH,114842375,rebuilding,203000000,0.25,0.8,190000000,0.15,0.7,233000000,1,1,22039406.25,13223643.75,88157625,18789406.25,11273643.75,75157625,29539406.25,17723643.75,118157625
